afgana	Afghanistan
afgano	Afghanistan
africana	Africa
africano	Africa
algerina	Algeria
algerino	Algeria
americana	Stati_Uniti_d'America
americano	Stati_Uniti_d'America
statunitense	Stati_Uniti_d'America
angolana	Angola
angolano	Angola
araba	Arabia_Saudita
arabo	Arabia_Saudita
argentina	Argentina
argentino	Argentina
asiatica	Asia
asiatico	Asia
australiana	Australia
australiano	Australia
austriaca	Austria
austriaco	Austria
bengalese	Bangladesh
belga	Belgio
bielorussa	Bielorussia
bielorusso	Bielorussia
boliviana	Bolivia
boliviano	Bolivia
bosniaca	Bosnia_ed_Erzegovina
bosniaco	Bosnia_ed_Erzegovina
brasiliana	Brasile
brasiliano	Brasile
britannica	Regno_Unito
britannico	Regno_Unito
bulgara	Bulgaria
bulgaro	Bulgaria
cambogiana	Cambogia
cambogiano	Cambogia
camerunese	Camerun
canadese	Canada
ceca	Repubblica_Ceca
ceco	Repubblica_Ceca
ciad	Ciad
cinese	Cina
colombiana	Colombia
colombiano	Colombia
congolese	Congo
costaricana	Costa_Rica
costaricano	Costa_Rica
croata	Croazia
croato	Croazia
danese	Danimarca
ecuadoriana	Ecuador
ecuadoriano	Ecuador
egiziana	Egitto
egiziano	Egitto
emira	Emirati_Arabi_Uniti
emiro	Emirati_Arabi_Uniti
estone	Estonia
etiope	Etiopia
filippina	Filippine
filippino	Filippine
finlandese	Finlandia
francese	Francia
gallese	Galles
ghanese	Ghana
giamaicana	Giamaica
giamaicano	Giamaica
giapponese	Giappone
giordana	Giordania
giordano	Giordania
greca	Grecia
greco	Grecia
guatemalteca	Guatemala
guatemalteca	Guatemala
honduregna	Honduras
honduregno	Honduras
indiana	India
indiano	India
indonesiana	Indonesia
indonesiano	Indonesia
inglese	Regno_Unito
inglese	Regno_Unito
irachena	Iraq
iracheno	Iraq
iraniana	Iran
iraniano	Iran
irlandese	Irlanda_(isola)
islandese	Islanda
israeliana	Israele
israeliano	Israele
italiana	Italia
italiano	Italia
ivoriana	Costa_d'Avorio
ivoriano	Costa_d'Avorio
kazaka	Kazakistan
kazako	Kazakistan
keniana	Kenya
keniano	Kenya
lao	Laos
lettone	Lettonia
libica	Libia
libico	Libia
lituana	Lituania
lituano	Lituania
malese	Malesia
malgascia	Madagascar
malgascio	Madagascar
marocchina	Marocco
marocchino	Marocco
messicana	Messico
messicano	Messico
neozelandese	Nuova_Zelanda
nicaraguense	Nicaragua
nigeriana	Nigeria
nigeriano	Nigeria
nordafricana	Africa
nordafricano	Africa
norvegese	Norvegia
olandese	Paesi_Bassi
pakistana	Pakistan
pakistano	Pakistan
panamense	Panamá
paraguaiana	Paraguay
paraguaiano	Paraguay
peruviana	Perù
peruviano	Perù
polacca	Polonia
polacco	Polonia
portoghese	Portogallo
rumena	Romania
rumeno	Romania
russa	Russia
russo	Russia
salvadoregna	El_Salvador
salvadoregna	El_Salvador
scozzese	Scozia
senegalese	Senegal
serba	Serbia
serbo	Serbia
siriana	Siria
siriano	Siria
slovacca	Slovacchia
slovacco	Slovacchia
somala	Somalia
somalo	Somalia
spagnola	Spagna
spagnolo	Spagna
sudafricana	Africa
sudafricano	Africa
sud-africana	Africa
sud-africano	Africa
sudamericana	America_meridionale
sudamericano	America_meridionale
sud-americana	America_meridionale
sud-americano	America_meridionale
sudanese	Sudan
svedese	Svezia
svizzera	Svizzera
svizzero	Svizzera
tailandese	Thailandia
tedesca	Germania
tedesco	Germania
tunisina	Tunisia
tunisino	Tunisia
turca	Turchia
turco	Turchia
turkmena	Turkmenistan
turkmeno	Turkmenistan
ucraina	Ucraina
ucraino	Ucraina
ungherese	Ungheria
uruguaiana	Uruguay
uruguaiano	Uruguay
vietnamita	Vietnam
vietnamita	Vietnam
zambiana	Zambia
zambiano	Zambia
